frame,player1_x,player1_y,player2_x,player2_y
0,,,,
1,,,,
2,,,535.0,168.0
3,534.0,184.0,534.0,184.0
4,,,534.0,201.0
5,534.0,220.0,534.0,220.0
6,534.0,243.0,534.0,243.0
7,,,,
8,698.0,265.0,699.0,265.0
9,766.0,272.0,,
10,811.0,277.0,,
11,862.0,285.0,,
12,895.0,291.0,,
13,925.0,295.0,,
14,947.0,302.0,,
15,967.0,307.0,,
16,982.0,313.0,,
17,1002.0,322.0,,
18,1014.0,328.0,,
19,1023.0,334.0,,
20,1031.0,342.0,,
21,1043.0,347.0,,
22,1048.0,354.0,,
23,1054.0,361.0,,
24,1059.5,369.8,,
25,1065.2,380.0,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,1054.0,677.0,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,611.0,399.0,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,1089.0,295.0,,
44,1084.0,295.0,,
45,1075.0,292.0,984.6,272.6
46,1069.0,292.0,,
47,1060.0,292.0,,
48,1054.0,291.0,,
49,1047.0,294.0,,
50,1036.0,295.0,,
51,1029.0,297.0,,
52,1020.0,300.0,,
53,1008.0,304.0,,
54,1459.0,214.0,,
55,988.0,313.0,1003.2,303.3
56,975.0,322.0,,
57,963.0,329.0,,
58,949.0,337.0,,
59,933.0,349.0,,
60,918.0,360.0,,
61,902.0,374.0,,
62,883.0,391.0,,
63,866.0,407.0,,
64,846.0,425.0,,
65,826.0,446.0,,
66,1459.0,214.0,,
67,790.0,466.0,,
68,774.0,462.0,,
69,757.0,456.0,756.4,455.8
70,739.0,453.0,,
71,721.0,453.0,,
72,700.0,450.0,,
73,681.0,451.0,,
74,660.0,453.0,,
75,637.0,456.0,,
76,615.0,461.0,,
77,584.0,473.0,,
78,557.5,486.0,,
79,528.8,504.7,,
80,,,,
81,,,,
82,,,,
83,605.0,413.0,644.6,453.6
84,636.0,393.0,,
85,726.0,537.0,,
86,683.0,357.0,,
87,701.0,347.0,700.4,342.8
88,722.0,332.0,,
89,738.0,324.0,,
90,754.0,316.0,,
91,768.0,310.0,,
92,781.0,303.0,,
93,792.0,300.0,,
94,1282.0,211.0,,
95,811.0,294.0,,
96,822.0,291.0,,
97,827.0,291.0,,
98,835.0,289.0,,
99,841.0,288.0,848.5,286.4
100,849.0,288.0,,
101,853.0,291.0,,
102,859.0,291.0,,
103,866.0,294.0,,
104,870.0,291.0,,
105,877.0,298.0,,
106,882.0,301.0,,
107,,,,
108,887.0,308.0,,
109,,,,
110,,,,
111,888.0,309.0,,
112,,,,
113,880.0,300.0,,
114,874.0,295.0,,
115,868.0,293.0,,
116,868.0,291.0,,
117,859.0,288.0,,
118,855.0,286.0,,
119,852.0,286.0,,
120,843.0,285.0,,
121,835.0,285.0,,
122,834.0,285.0,,
123,823.0,288.0,,
124,814.0,290.0,,
125,812.0,290.0,,
126,801.0,297.0,,
127,797.0,300.0,,
128,788.0,305.0,,
129,775.0,313.0,,
130,772.0,319.0,,
131,762.0,327.0,,
132,746.0,341.0,,
133,741.0,348.0,,
134,730.0,360.0,,
135,717.0,378.0,,
136,705.0,395.4,,
137,692.0,411.0,,
138,678.0,432.0,,
139,663.0,456.0,,
140,1282.0,211.0,,
141,1462.0,211.0,1566.9,106.7
142,616.0,539.0,,
143,283.0,1382.3,,
144,,,,
145,1282.0,211.0,,
146,,,,
147,,,,
148,,,,
149,1283.0,212.0,,
150,,,,
151,,,,
152,,,,
153,1459.0,210.0,,
154,,,,
155,,,,
156,433.0,552.0,,
157,419.0,560.0,,
158,403.0,571.0,,
159,387.0,582.0,,
160,372.0,597.0,,
161,356.5,612.4,,
162,341.2,631.1,,
163,437.0,425.0,,
164,1459.0,214.0,,
165,482.0,323.0,324.9,637.2
166,501.0,285.0,,
167,519.0,249.0,,
168,534.0,220.0,,
169,546.0,194.0,,
170,561.0,172.0,,
171,572.0,154.0,,
172,583.0,136.0,,
173,594.0,123.0,,
174,604.0,111.0,,
175,612.0,102.0,,
176,620.0,94.0,,
177,629.0,89.0,,
178,635.0,83.0,,
179,642.5,79.3,,
180,649.2,74.7,651.0,73.2
181,,,,
182,660.0,75.0,,
183,665.0,77.0,,
184,670.0,77.0,,
185,676.0,81.0,,
186,681.0,84.0,,
187,685.0,87.0,,
188,688.0,91.0,,
189,691.0,96.0,,
190,695.0,103.0,,
191,698.0,107.0,,
192,703.0,114.0,,
193,706.0,120.0,,
194,709.0,127.0,,
195,712.0,135.0,,
196,714.0,141.0,,
197,717.0,151.0,,
198,720.0,159.0,,
199,721.0,166.0,,
200,724.0,174.0,,
201,726.0,184.0,,
202,730.0,193.0,,
203,733.0,204.0,,
204,733.0,213.0,,
205,736.0,223.0,,
206,738.0,231.0,,
207,738.0,241.0,,
208,741.0,252.0,,
209,742.0,262.0,,
210,745.0,273.0,,
211,747.0,283.0,,
212,748.0,295.0,,
213,749.0,304.0,,
214,751.0,314.0,,
215,754.0,324.0,,
216,755.0,335.0,,
217,757.0,343.6,,
218,758.5,355.5,,
219,756.0,327.0,756.0,340.9
220,754.0,319.0,,
221,756.0,310.0,,
222,757.0,303.0,,
223,870.0,278.0,,
224,758.0,287.0,,
225,757.0,283.0,757.0,283.0
226,757.0,277.0,,
227,757.0,274.0,,
228,757.0,270.0,,
229,757.0,265.0,,
230,757.0,262.0,,
231,757.0,259.0,,
232,757.0,256.0,,
233,757.0,256.0,,
234,757.0,253.0,,
235,759.0,254.0,,
236,761.0,253.0,,
237,761.0,252.0,,
238,,,,
239,760.0,255.0,,
240,760.0,256.0,,
241,759.0,258.0,,
242,760.0,259.0,,
243,760.0,262.0,,
244,763.0,264.0,,
245,763.0,267.0,,
246,763.0,271.0,,
247,763.0,276.0,,
248,765.0,279.0,,
249,,,,
250,763.0,276.0,,
251,760.0,274.0,,
252,760.0,270.0,,
253,759.0,266.0,,
254,757.0,266.0,,
255,754.0,262.0,,
256,751.0,262.0,,
257,751.0,261.0,,
258,748.0,261.0,,
